id_tps	name	sex	set	nat	age	weight	height	attractiveness	fem_masc	L	a	b 	R1	L1	R2	L2	R3	L3	laterality
24	ID5_1_M_CMR13_DSC_0036	F	CMR13	CMR	22	74.1	157	3.764705882	5.532467532	40.44	23.325	19.938	176.9	189	192.2	206.6	209.3	189.9	R
33	ID6_1_F_CMR13_DSC_0040	F	CMR13	CMR	23	59.4	160	3.411764706	5.090909091	49.125	24.65	25.578	44.02	89.13	105.1	87.1	120.7	125.7	R
38	ID7_2_F_CMR13_DSC_0049	F	CMR13	CMR	23	74.8	160	3.441176471	4.532467532	38.016	20.829	15.224	206.4	209.3	247	206.4	229.9	161.7	R
44	ID8_1_F_CMR13_DSC_0044	F	CMR13	CMR	23	55.7	162	3.852941176	5.714285714	44.644	23.941	24.036	239.3	255.3	268.2	256.3	247.7	208.7	R
0	ID17_2_F_CMR13_DSC_0002	F	CMR13	CMR	18	60.6	158.5	2.411764706	4.74025974	35.992	19.194	14.381	181.6	77.17	109.4	67.93	151.6	71.54	R
1	ID18_1_F_CMR13_	F	CMR13	CMR	21	86.3	162	2.264705882	3.597402597	30.46	13.64	8.886	231.4	172.8	152.3	176.4	184.3	181.4	R
2	ID19_2_F_CMR13_DSC_0010	F	CMR13	CMR	22	52.5	159	3.382352941	4.896103896	41.802	21.316	19.243	40.87	54.4	39.28	58.23	67.7	53.49	R
3	ID20_1_F_CMR13_DSC_0013	F	CMR13	CMR	22	63	161	4.424242424	5.584415584	37.985	22.158	17.543	252	243.6	260.5	217.2	233.2	253.5	L
4	ID25_1_F_CMR13_DSC_0034	F	CMR13	CMR	23	65.5	169.5	1.970588235	3.623376623	27.979	15.184	10.899	35	41.99	155.9	141.5	147.1	160.6	R
5	ID26_1_F_CMR13_DSC_0041	F	CMR13	CMR	18	56.1	163.5	3.058823529	4.675324675	37.345	18.234	14.61	226	142.8	223.5	160.2	211.6	156.1	R
6	ID27_2_F_CMR13_DSC_0050	F	CMR13	CMR	25	57.2	151.5	2.558823529	4.350649351	30.313	19.448	16.871	239.6	238.7	263.9	204.4	268.2	211.6	R
7	ID28_2_F_CMR13_DSC_0046	F	CMR13	CMR	21	50.3	149.5	3.823529412	5.220779221	29.582	18.587	14.63	233.7	214.1	220.2	186.6	175.7	166.5	R
8	ID1_1_M_CMR13_DSC_0023.jpg	M	CMR13	CMR	25	78.2	168	3.464285714	5.636363636	40.726	17.463	12.529	318.7	316.5	390.4	364.7	397	307.9	R
14	ID2_2_M_CMR13_DSC_0033.jpg	M	CMR13	CMR	21	72.6	181	5	5.181818182	30.004	15.244	10.515	279	261.9	316	300.9	270	271.6	R
18	ID3_1_M_CMR13_DSC_0025.jpg	M	CMR13	CMR	20	74.7	164	5.5	6.142857143	40.776	16.879	12.822	312.4	290.8	337.2	279.7	344.2	278.1	R
24	ID4_1_M_CMR13_DSC_0028.jpg	M	CMR13	CMR	18	55.7	162	2.964285714	5.987012987	28.981	15.097	8.127	232.6	235.1	241.8	220.6	254.9	193.3	R
48	ID9_2_M_CMR13_DSC_0061.jpg	M	CMR13	CMR	21	91.5	172	4.321428571	5.519480519	37.363	15.104	10.133	394.3	283.3	354.8	321.7	374.4	325.3	R
1	ID10_2_M_CMR13_DSC_0065.jpg	M	CMR13	CMR	24	73.3	165	5.142857143	5.87012987	36.21	16.695	12.084	359.5	332.7	389.3	360.7	371.5	274.7	R
2	ID11_3_M_CMR13_DSC_0082.jpg	M	CMR13	CMR	23	74.9	184	3.785714286	5.168831169	37.986	21.456	17.193	339.5	192.9	366.8	233.7	380.5	284	R
4	ID13_1_M_CMR13_DSC_0052.jpg	M	CMR13	CMR	19	54.8	179.5	4.035714286	3.779220779	49.084	23.548	22.214	383.7	195.6	347.6	286.7	404.7	196.7	R
5	ID14_1_M_CMR13_DSC_0072.jpg	M	CMR13	CMR	30	79.5	180	2.857142857	6.480519481	30.953	13.588	8.241	343.8	267.5	357.7	311.1	365.4	289.9	R
6	ID15_1_M_CMR13_DSC_0056.jpg	M	CMR13	CMR	25	75	186	4.107142857	5.831168831	28.057	13.175	8.511	364.3	353.2	411	355.7	427.4	378.3	R
7	ID16_2_M_CMR13_DSC_0069.jpg	M	CMR13	CMR	20	64	165.5	3.481481481	6.337662338	32.224	16.603	11.806	299.8	267.8	344.9	281.5	282.6	312.6	R
10	ID22_2_M_CMR13_DSC_0023.jpg	M	CMR13	CMR	23	58.3	164.5	4.464285714	5.805194805	27.395	15.063	10.411	199	198.3	185.9	217	191.1	214.8	R
